City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
54,uturoa,-16.7333,-16.7333,27.4,82,45,8.54,PF,1715621341
55,hammerfest,70.6634,70.6634,6.25,87,75,1.54,NO,1715621341
56,mananjary,-21.2167,-21.2167,23.73,77,37,1.7,MG,1715621341
57,happy valley-goose bay,53.3168,53.3168,13.17,47,75,3.6,CA,1715621060
58,bethel,41.3712,41.3712,21.31,52,20,1.54,US,1715621341
59,nako,31.8814,31.8814,6.28,54,2,1.51,IN,1715621341
60,punta arenas,-53.15,-53.15,5.06,70,75,11.32,CL,1715621340
61,sisimiut,66.9395,66.9395,-0.17,99,100,1.86,GL,1715621342
62,nouadhibou,20.931,20.931,22.99,60,12,8.75,MR,1715621342
63,margaret river,-33.95,-33.95,16.79,45,47,4.25,AU,1715621342
64,oban,56.4127,56.4127,15.77,89,100,1.23,GB,1715621342
65,jamestown,42.097,42.097,23.9,53,40,3.09,US,1715621342
66,barranca,-10.75,-10.75,20.58,77,63,4.04,PE,1715621342
67,terrace,54.5163,54.5163,11.79,93,75,1.54,CA,1715621343
68,sao felix do xingu,-6.6447,-6.6447,33.03,47,83,1.78,BR,1715621343
69,envira,-7.3,-7.3,34.7,48,93,0.8,BR,1715621343
70,papatowai,-46.5619,-46.5619,6.67,91,24,1.96,NZ,1715621343
71,west island,-12.1568,-12.1568,27.99,83,40,7.2,CC,1715621343
72,pitimbu,-7.4706,-7.4706,31.33,75,100,3.82,BR,1715621343
73,zheleznogorsk-ilimskiy,56.5768,56.5768,4.09,58,15,1.79,RU,1715621343
74,leiyang,26.4024,26.4024,18.33,76,1,1.59,CN,1715621343
75,polyarnyy,69.1989,69.1989,1.02,96,95,1.83,RU,1715621344
76,sterling,39.0062,39.0062,24.89,48,20,6.17,US,1715621264
77,whitehorse,60.7161,60.7161,6.43,43,75,1.03,CA,1715621344
78,anshun,26.25,26.25,14.61,79,48,0.44,CN,1715621344
79,hamilton,39.1834,39.1834,26.89,47,0,6.17,US,1715621272
80,aykhal,66.0,66.0,-6.39,100,95,1.85,RU,1715621344
81,grytviken,-54.2811,-54.2811,-4.05,77,56,5.64,GS,1715621344
82,putian,25.4394,25.4394,14.77,77,98,1.66,CN,1715621344
83,vernon,50.2581,50.2581,20.16,51,95,1.34,CA,1715621299
84,invercargill,-46.4,-46.4,2.79,97,24,0.89,NZ,1715621345
85,takoradi,4.8845,4.8845,27.87,84,100,3.59,GH,1715621345
86,kavieng,-2.5744,-2.5744,27.88,83,100,6.1,PG,1715621345
87,hadibu,12.65,12.65,29.44,68,73,1.8,YE,1715621345
88,sabang,5.8933,5.8933,29.7,72,100,3.31,ID,1715621345
89,tual,-5.6667,-5.6667,27.51,81,98,6.41,ID,1715621345
90,knysna,-34.0363,-34.0363,15.82,88,1,3.3,ZA,1715621346
91,utrik,11.2278,11.2278,27.19,81,78,8.58,MH,1715621346
92,rasht,37.2808,37.2808,17.9,82,75,3.09,IR,1715621346
93,tolanaro,-25.0319,-25.0319,23.04,88,75,6.17,MG,1715621346
94,lompoc,34.6391,34.6391,16.03,86,100,2.06,US,1715621346
95,san fernando de apure,7.8878,7.8878,35.06,39,88,3.2,VE,1715621346
96,qeshm,26.9581,26.9581,29.93,67,0,4.59,IR,1715621346
97,dudinka,69.4058,69.4058,-1.85,95,100,4.92,RU,1715621347
98,zemio,5.0314,5.0314,25.71,70,92,1.26,CF,1715621347
99,saipan,15.1355,15.1355,27.39,83,40,3.09,MP,1715621347
100,luis correia,-2.8792,-2.8792,32.0,70,40,5.14,BR,1715621347
101,igarka,67.4667,67.4667,3.9,100,82,8.94,RU,1715621347
102,siwa oasis,29.2041,29.2041,26.56,21,0,2.79,EG,1715621347
103,nevada,39.2502,39.2502,16.36,23,0,0.84,US,1715621347
104,flying fish cove,-10.4217,-10.4217,25.82,94,100,4.63,CX,1715621348
105,college,64.8569,64.8569,10.26,69,75,0.0,US,1715621348
106,qashyr,53.0675,53.0675,18.72,33,95,6.33,KZ,1715621348
107,juliaca,-15.5,-15.5,17.99,29,0,1.54,PE,1715621348
108,lohaghat,29.4036,29.4036,18.04,40,34,1.98,IN,1715621348
109,laguna,38.421,38.421,25.52,60,0,3.6,US,1715621348
